k,MIDPOINT_H,TRAPAZOIDAL_H,SIMPSON_H
100,0.302745,0.302745,0.302745
101,0.360659,0.360659,0.360659
102,0.410778,0.410778,0.410778
103,0.444464,0.444464,0.444464
104,0.452503,0.452503,0.452503
105,0.426738,0.426738,0.426738
106,0.362176,0.362176,0.362176
107,0.259172,0.259172,0.259172
108,0.125149,0.125149,0.125149
109,-0.0248206,-0.0248206,-0.0248206
110,-0.169179,-0.169179,-0.169179
111,-0.2831,-0.2831,-0.2831
112,-0.343528,-0.343528,-0.343528
113,-0.335165,-0.335165,-0.335165
114,-0.255921,-0.255921,-0.255921
115,-0.119996,-0.119996,-0.119996
116,0.0429658,0.0429658,0.0429658
117,0.193436,0.193436,0.193436
118,0.291614,0.291614,0.291614
119,0.308918,0.308918,0.308918
120,0.237935,0.237935,0.237935
121,0.0971761,0.0971761,0.0971761
122,-0.0720018,-0.0720018,-0.0720018
123,-0.216612,-0.216612,-0.216612
124,-0.288761,-0.288761,-0.288761
125,-0.262633,-0.262633,-0.262633
126,-0.14546,-0.14546,-0.14546
127,0.0225336,0.0225336,0.0225336
128,0.180676,0.180676,0.180676
129,0.26951,0.26951,0.26951
130,0.253978,0.253978,0.253978
131,0.138838,0.138838,0.138838
132,-0.0309435,-0.0309435,-0.0309435
133,-0.186528,-0.186528,-0.186528
134,-0.262887,-0.262887,-0.262887
135,-0.226827,-0.226827,-0.226827
136,-0.0929403,-0.0929403,-0.0929403
137,0.0806866,0.0806866,0.0806866
138,0.216724,0.216724,0.216724
139,0.253112,0.253112,0.253112
140,0.172412,0.172412,0.172412
141,0.0116705,0.0116705,0.0116705
142,-0.153279,-0.153279,-0.153279
143,-0.243108,-0.243108,-0.243108
144,-0.213668,-0.213668,-0.213668
145,-0.0789596,-0.0789596,-0.0789596
146,0.0941391,0.0941391,0.0941391
147,0.218252,0.218252,0.218252
148,0.229735,0.229735,0.229735
149,0.122295,0.122295,0.122295
150,-0.0482534,-0.0482534,-0.0482534
151,-0.192004,-0.192004,-0.192004
152,-0.232208,-0.232208,-0.232208
153,-0.146989,-0.146989,-0.146989
154,0.0175466,0.0175466,0.0175466
155,0.17123,0.17123,0.17123
156,0.228944,0.228944,0.228944
157,0.15833,0.15833,0.15833
158,-0.000975062,-0.000975062,-0.000975062
159,-0.158582,-0.158582,-0.158582
160,-0.224268,-0.224268,-0.224268
161,-0.160087,-0.160087,-0.160087
