K:            MIDPOINT_H:              TRAPAZOIDAL_H                      SIMPSON_H                 
1000          0.0366816599628347      0.0366816599628354          0.0366816599628349
2000          -0.0486565840154695      -0.0486565840154697          -0.0486565840154695
3000          -0.0361525541602871      -0.036152554160287          -0.0361525541602871
4000          -0.0137265717273636      -0.0137265717273636          -0.0137265717273636
5000          0.0128169749942353      0.0128169749942355          0.0128169749942354
6000          0.0298826488228177      0.0298826488228161          0.0298826488228172
7000          0.0268410638519296      0.0268410638519305          0.0268410638519299
8000          0.0062827840283951      0.00628278402839751          0.00628278402839589
9000          -0.0165733278110152      -0.0165733278110133          -0.0165733278110145
10000          -0.0250589650451118      -0.0250589650451129          -0.0250589650451122
